"id_del_pedido","fecha_del_pedido","fecha_de_envio","metodo_de_envio","id_del_cliente"
"AR-2021-100279",2021-03-10,2021-03-14,"Estándar","PO-20275"
"AR-2021-100363",2021-04-08,2021-04-15,"Estándar","CV-15655"
"AR-2021-106810",2021-05-14,2021-05-20,"Estándar","ER-10795"
"AR-2021-109162",2021-06-08,2021-06-12,"Estándar","PC-16420"
"AR-2021-111360",2021-11-24,2021-11-30,"Estándar","JT-10435"
"AR-2021-123400",2021-02-02,2021-02-09,"Estándar","LL-13930"
"AR-2021-127488",2021-09-22,2021-09-24,"Rápido","DJ-17365"
"AR-2021-128986",2021-08-03,2021-08-05,"Rápido","HO-14410"
"AR-2021-129609",2021-03-22,2021-03-22,"Mismo día","LA-21835"
"AR-2021-130918",2021-08-22,2021-08-24,"Rápido","LP-15520"
"AR-2021-133228",2021-04-04,2021-04-09,"Estándar","FB-17710"
"AR-2021-134103",2021-01-30,2021-02-04,"Estándar","BH-18190"
"AR-2021-136861",2021-09-05,2021-09-07,"Urgente","AB-18880"
"AR-2021-139283",2021-11-23,2021-11-27,"Estándar","BP-11440"
"AR-2021-140487",2021-06-14,2021-06-20,"Estándar","AB-20425"
"AR-2021-144281",2021-06-10,2021-06-15,"Rápido","JB-14890"
"AR-2021-144407",2021-09-09,2021-09-15,"Estándar","DJ-17365"
"AR-2021-149643",2021-11-16,2021-11-20,"Estándar","HB-19510"
"AR-2021-151379",2021-12-16,2021-12-20,"Estándar","AM-20695"
"AR-2021-151708",2021-08-08,2021-08-14,"Estándar","EC-17305"
"AR-2021-151995",2021-10-13,2021-10-15,"Urgente","FG-21910"
"AR-2021-156993",2021-06-28,2021-07-04,"Estándar","OT-19630"
"AR-2021-157070",2021-06-01,2021-06-06,"Estándar","AP-19255"
"AR-2021-164224",2021-05-18,2021-05-20,"Rápido","NL-21070"
"AR-2021-165477",2021-12-29,2021-12-31,"Rápido","JU-19405"
"AR-2021-167164",2021-05-13,2021-05-15,"Rápido","AE-10270"
"AR-2021-167850",2021-08-09,2021-08-16,"Estándar","AV-10525"
"AR-2022-103072",2022-09-27,2022-09-30,"Rápido","WR-14935"
"AR-2022-103772",2022-06-28,2022-07-02,"Estándar","CO-17470"
"AR-2022-104038",2022-02-06,2022-02-08,"Urgente","MC-17170"
"AR-2022-108532",2022-08-29,2022-09-02,"Estándar","CA-12100"
"AR-2022-109169",2022-04-20,2022-04-24,"Estándar","FP-18730"
"AR-2022-110016",2022-11-29,2022-12-04,"Estándar","NA-11395"
"AR-2022-111948",2022-11-11,2022-11-11,"Mismo día","RC-10495"
"AR-2022-113901",2022-10-19,2022-10-24,"Estándar","JO-18610"
