"id_del_pedido","id_del_producto","id_posicion","id_del_cliente","id_dir_cliente","ventas","cantidad","descuento","ganancia","valoracion"
"GT-2021-103800","OFF-PA-10000174-1",1,"AM-13000","DIR-2",16.448,2,0.2,5.5512,4
"SV-2021-112326","OFF-BI-10004094-1",1,"BS-19195","DIR-2",3.54,2,0.8,-5.487,3
"SV-2021-112326","OFF-LA-10003223-1",2,"BS-19195","DIR-2",11.784,3,0.2,4.2717,4
"SV-2021-112326","OFF-ST-10002743-1",3,"BS-19195","DIR-2",272.736,3,0.2,-64.7748,5
"HN-2021-141817","OFF-AR-10003478-1",1,"AT-18085","DIR-3",19.536,3,0.2,4.884,2
"HN-2021-167199","FUR-CH-10004063-1",1,"AJ-17320","DIR-3",2573.82,9,0,746.4078,4
"HN-2021-167199","OFF-AR-10001662-1",2,"AJ-17320","DIR-3",5.48,2,0,1.4796,4
"VE-2021-106054","OFF-AR-10002399-1",1,"LG-15145","DIR-9",12.78,3,0,5.2398,2
"HN-2021-167199","OFF-BI-10004632-2",3,"AJ-17320","DIR-3",609.98,2,0,274.491,5
"HN-2021-167199","OFF-FA-10001883-1",4,"AJ-17320","DIR-3",31.12,4,0,0.311199999999999,5
"HN-2021-167199","OFF-PA-10000955-1",5,"AJ-17320","DIR-3",6.54,1,0,3.0084,2
"MX-2021-130813","OFF-PA-10002005-1",1,"CV-17230","DIR-1",19.44,3,0,9.3312,1
"HN-2021-167199","TEC-PH-10004539-1",6,"AJ-17320","DIR-3",755.96,4,0,204.1092,2
"HN-2021-167199","TEC-PH-10004977-1",7,"AJ-17320","DIR-3",391.98,2,0,113.6742,4
"MX-2021-105417","FUR-FU-10004864-2",1,"EC-21820","DIR-3",76.728,3,0.6,-53.7096,2
"MX-2021-105417","OFF-BI-10003708-1",2,"EC-21820","DIR-3",10.43,7,0.8,-18.2525,5
"BR-2021-135405","OFF-AR-10004078-1",1,"HS-17830","DIR-4",9.344,2,0.2,1.168,4
"BR-2021-135405","TEC-AC-10001266-1",2,"HS-17830","DIR-4",31.2,3,0.2,9.75,4
"MX-2021-149020","FUR-FU-10000965-1",1,"WV-10780","DIR-3",51.94,1,0,21.2954,2
"MX-2021-149020","OFF-LA-10004272-1",2,"WV-10780","DIR-3",2.89,1,0,1.3583,3
"CO-2021-130092","FUR-FU-10000010-1",1,"IC-20365","DIR-9",9.94,2,0,3.0814,3
"SV-2021-157147","FUR-BO-10003034-1",1,"TA-11605","DIR-3",333.999,3,0.15,3.92940000000001,2
"CL-2021-109232","FUR-CH-10000422-1",1,"AR-18370","DIR-8",545.94,6,0,87.3504,4
"SV-2021-157147","OFF-AR-10003514-1",2,"TA-11605","DIR-3",19.9,5,0,6.567,1
"MX-2021-118192","OFF-BI-10003476-1",1,"FF-17920","DIR-7",3.438,2,0.7,-2.5212,2
"MX-2021-162775","OFF-BI-10004187-1",1,"NM-12250","DIR-5",5.64,3,0,2.7072,4
"MX-2021-162775","OFF-EN-10001532-1",2,"NM-12250","DIR-5",50.94,3,0,25.47,4
"MX-2021-162775","OFF-EN-10001990-1",3,"NM-12250","DIR-5",11.36,2,0,5.3392,4
"MX-2021-118192","OFF-PA-10002947-1",2,"FF-17920","DIR-7",37.408,7,0.2,13.0928,2
"MX-2021-162775","OFF-ST-10000025-1",4,"NM-12250","DIR-5",572.58,6,0,34.3548,4
"SV-2021-157147","OFF-ST-10000078-1",3,"TA-11605","DIR-3",1325.85,5,0,238.653,1
"MX-2021-162775","TEC-AC-10003174-1",5,"NM-12250","DIR-5",646.74,6,0,258.696,3
"HN-2021-149524","FUR-BO-10003433-1",1,"VC-11590","DIR-2",61.96,4,0.5,-53.2856,4
"CU-2021-103366","TEC-AC-10003628-1",1,"RC-13990","DIR-1",149.95,5,0,65.978,2
"HN-2021-115791","FUR-FU-10001095-1",1,"AV-13315","DIR-3",127.104,6,0.2,28.5984,2
"HN-2021-115791","OFF-BI-10001575-1",2,"AV-13315","DIR-3",18.588,2,0.7,-13.6312,1
"HN-2021-115791","OFF-LA-10001074-1",3,"AV-13315","DIR-3",30.072,3,0.2,10.1493,4
"HN-2021-115791","TEC-PH-10004614-1",4,"AV-13315","DIR-3",124.2,3,0.4,-31.05,3
"CU-2021-123477","OFF-AP-10000692-1",1,"NP-13195","DIR-1",64.864,4,0.2,6.4864,3
"PE-2021-146591","FUR-BO-10001972-1",1,"BF-21340","DIR-5",181.47,5,0.7,-320.597,4
"PE-2021-146591","OFF-BI-10003676-1",2,"BF-21340","DIR-5",32.34,10,0.7,-23.716,5
"PE-2021-146591","OFF-EN-10002504-1",3,"BF-21340","DIR-5",108.72,5,0.2,36.693,2
"PE-2021-146591","OFF-PA-10000659-2",4,"BF-21340","DIR-5",56.064,4,0.2,19.6224,1
"BR-2021-147627","FUR-CH-10002331-1",1,"TC-15040","DIR-6",1067.94,3,0,224.2674,4
"VE-2021-167927","FUR-FU-10002268-1",1,"AH-21865","DIR-11",14.73,3,0,4.8609,2
"VE-2021-167927","FUR-FU-10002918-1",2,"AH-21865","DIR-11",272.94,3,0,30.0234,4
"BR-2021-147627","FUR-FU-10003194-1",2,"TC-15040","DIR-6",38.6,4,0,11.58,4
"MX-2021-148614","FUR-FU-10003194-1",1,"AR-17485","DIR-5",19.3,2,0,5.79,2
"VE-2021-167927","OFF-AP-10002311-1",3,"AH-21865","DIR-11",247.716,4,0.1,93.5816,3
"BR-2021-147627","OFF-AR-10002375-1",3,"TC-15040","DIR-6",22.96,7,0,6.6584,4
"BR-2021-147627","OFF-AR-10003811-1",4,"TC-15040","DIR-6",6.63,3,0,1.7901,4
"VE-2021-167927","OFF-AR-10004456-1",4,"AH-21865","DIR-11",43.92,3,0,12.7368,5
"VE-2021-167927","OFF-BI-10000605-1",5,"AH-21865","DIR-11",19.05,5,0,8.9535,5
"VE-2021-147774","OFF-BI-10003091-1",1,"FV-18280","DIR-7",67.194,1,0.7,-51.5154,1
"VE-2021-167927","OFF-BI-10004364-1",6,"AH-21865","DIR-11",29.7,5,0,13.365,5
"BR-2021-147627","OFF-EN-10001539-1",5,"TC-15040","DIR-6",23.34,3,0,10.9698,5
"MX-2021-148614","OFF-PA-10002893-1",2,"AR-17485","DIR-5",19.36,2,0,9.2928,2
"VE-2021-167927","OFF-ST-10000760-1",7,"AH-21865","DIR-11",13.98,1,0,4.0542,5
"VE-2021-167927","OFF-ST-10003123-1",8,"AH-21865","DIR-11",66.58,2,0,15.9792,5
"BR-2021-147627","TEC-PH-10001061-1",6,"TC-15040","DIR-6",699.93,7,0,181.9818,4
"CU-2021-110422","FUR-FU-10001889-1",1,"VC-21400","DIR-1",25.248,3,0.2,4.1028,4
"MX-2021-115238","FUR-FU-10001025-1",1,"PS-15220","DIR-2",24.3,5,0,10.45,1
"MX-2021-115238","FUR-FU-10002445-1",2,"PS-15220","DIR-2",9.48,1,0,3.79,3
"MX-2021-115238","FUR-FU-10002960-1",3,"PS-15220","DIR-2",31.4,5,0,13.19,2
"MX-2021-115238","OFF-PA-10002689-1",4,"PS-15220","DIR-2",6.48,1,0,3.11,1
"MX-2021-115238","TEC-PH-10001300-1",5,"PS-15220","DIR-2",209.5,10,0,58.66,1
"GT-2021-146997","OFF-FA-10003467-1",1,"AF-20605","DIR-2",5.94,3,0,0,4
"BO-2021-102645","OFF-PA-10001804-1",1,"AR-15055","DIR-2",40.08,6,0,19.2384,2
"BR-2021-167997","FUR-BO-10004409-1",1,"JA-11965","DIR-5",141.96,2,0,39.7488,3
"SV-2021-155502","FUR-FU-10001847-1",1,"SD-20485","DIR-1",12.42,3,0,4.4712,5
"SV-2021-155502","FUR-FU-10004587-1",2,"SD-20485","DIR-1",62.82,3,0,30.7818,4
"BR-2021-167997","OFF-BI-10001758-1",2,"JA-11965","DIR-5",10.68,2,0,5.0196,5
"SV-2021-155502","OFF-PA-10000380-1",3,"SD-20485","DIR-1",16.68,2,0,8.34,5
"SV-2021-155502","OFF-PA-10003072-1",4,"SD-20485","DIR-1",19.44,3,0,9.3312,4
"SV-2021-155502","OFF-ST-10004337-1",5,"SD-20485","DIR-1",489.92,8,0,0,5
"SV-2021-155502","TEC-PH-10002103-1",6,"SD-20485","DIR-1",187.98,2,0,52.6344,4
"SV-2021-155502","TEC-PH-10004833-1",7,"SD-20485","DIR-1",155.35,13,0,0,5
"SV-2021-117163","FUR-TA-10003469-1",1,"OG-13720","DIR-1",333,3,0.2,-16.65,4
"SV-2021-117163","OFF-AR-10003179-1",2,"OG-13720","DIR-1",36.44,4,0,12.0252,2
"SV-2021-117163","OFF-ST-10003692-1",3,"OG-13720","DIR-1",57.23,1,0,14.3075,2
"NI-2021-100328","OFF-BI-10000343-1",1,"AD-15340","DIR-2",3.928,1,0.2,1.3257,3
"AR-2021-134103","OFF-PA-10001204-1",1,"BH-18190","DIR-4",10.56,2,0,4.752,4
"AR-2021-134103","OFF-ST-10000991-1",2,"BH-18190","DIR-4",229.94,2,0,6.8982,4
"BR-2021-115161","FUR-BO-10003966-1",1,"CB-17050","DIR-5",290.666,2,0.15,3.41959999999999,1
"BR-2021-140795","TEC-AC-10001432-1",1,"UR-11500","DIR-4",468.9,6,0,206.316,1
"AR-2021-123400","OFF-BI-10000666-1",1,"LL-13930","DIR-2",18.336,2,0.7,-12.224,2
"SV-2021-139857","OFF-FA-10001843-1",1,"MA-12790","DIR-2",12.35,5,0,5.8045,3
"AR-2021-123400","TEC-PH-10002890-1",2,"LL-13930","DIR-2",180.96,5,0.2,13.572,1
"DO-2021-111059","OFF-BI-10002827-1",1,"VC-21400","DIR-2",13.272,3,0.2,4.3134,3
"DO-2021-111059","OFF-BI-10004593-1",2,"VC-21400","DIR-2",83.84,2,0.2,27.248,3
"BR-2021-104808","OFF-BI-10003676-1",1,"AY-17440","DIR-4",17.248,2,0.2,6.0368,2
"SV-2021-107181","OFF-BI-10004230-1",1,"AB-13270","DIR-2",82.896,3,0.2,29.0136,2
"SV-2021-107181","OFF-PA-10000350-1",2,"AB-13270","DIR-2",34.24,4,0,16.0928,1
"CO-2021-108182","OFF-BI-10001196-1",1,"AV-13315","DIR-7",8.952,2,0.8,-14.7708,4
"VE-2021-131905","OFF-LA-10002787-1",1,"IS-18460","DIR-6",15,4,0,7.2,4
"VE-2021-131905","TEC-PH-10001615-1",2,"IS-18460","DIR-6",144.95,5,0,42.0355,5
"VE-2021-131905","TEC-PH-10003645-1",3,"IS-18460","DIR-6",161.61,1,0,42.0186,3
"NI-2021-169390","OFF-ST-10001558-1",1,"NM-12250","DIR-3",64.96,4,0,9.744,2
"BR-2021-107755","TEC-AC-10000710-1",1,"SP-12760","DIR-7",115.36,7,0,49.6048,2
"CU-2021-125759","FUR-FU-10002111-1",1,"SN-18445","DIR-1",14.56,2,0,5.5328,2
"BR-2021-168368","FUR-CH-10001146-2",1,"IR-14725","DIR-10",60.89,1,0,15.2225,3
"BR-2021-168368","FUR-FU-10002298-1",2,"IR-14725","DIR-10",332.94,3,0,53.2704,1
"VE-2021-127614","FUR-TA-10003715-1",1,"NF-18385","DIR-7",1256.22,6,0,75.3731999999999,4
"VE-2021-127614","OFF-BI-10003291-1",2,"NF-18385","DIR-7",17.46,2,0,8.2062,2
"BR-2021-168368","OFF-BI-10004654-2",3,"IR-14725","DIR-10",51.9,3,0,24.393,1
"BR-2021-168368","OFF-BI-10004728-1",4,"IR-14725","DIR-10",9.64,2,0,4.4344,1
"BR-2021-168368","OFF-LA-10004853-1",5,"IR-14725","DIR-10",14.94,3,0,6.8724,1
"BR-2021-168368","OFF-ST-10002583-1",6,"IR-14725","DIR-10",64.96,2,0,2.5984,2
"VE-2021-127614","TEC-AC-10001432-1",3,"NF-18385","DIR-7",234.45,3,0,103.158,3
"MX-2021-110674","FUR-CH-10000225-1",1,"AA-20095","DIR-4",129.568,2,0.2,-24.294,2
"DO-2021-121762","OFF-AP-10001293-1",1,"AL-17395","DIR-1",81.96,2,0,22.9488,5
"GT-2021-107706","OFF-PA-10000466-1",1,"AE-20530","DIR-1",16.176,3,0.2,6.066,3
"DO-2021-121762","OFF-SU-10000157-1",2,"AL-17395","DIR-1",238.62,2,0,4.7724,3
"DO-2021-121762","TEC-AC-10000736-1",3,"AL-17395","DIR-1",239.97,3,0,86.3892,4
"DO-2021-165568","OFF-BI-10001031-1",1,"GV-11020","DIR-1",21.36,5,0.2,7.209,5
"MX-2021-122567","OFF-AP-10001303-1",1,"LC-17935","DIR-4",7.96,2,0.8,-13.93,3
"MX-2021-122567","OFF-BI-10002012-1",2,"LC-17935","DIR-4",1.08,3,0.8,-1.728,4
"BR-2021-154165","OFF-AR-10003631-1",1,"AV-13315","DIR-6",54.208,14,0.2,8.8088,2
"CO-2021-165589","FUR-FU-10002396-1",1,"UR-21595","DIR-4",25.16,5,0.6,-11.322,2
"PA-2021-152905","OFF-ST-10000321-1",1,"OL-10015","DIR-2",12.624,2,0.2,-2.5248,3
"MX-2021-109491","FUR-FU-10000221-1",1,"WN-16930","DIR-4",20.32,4,0,6.9088,3
"MX-2021-164903","OFF-PA-10003363-1",1,"LA-20740","DIR-3",12.96,2,0,6.2208,1
