"id_del_cliente","id_dir_cliente","ciudad","estado_provincia","pais_region","region"
"AA-11080","DIR-1","Managua","Managua","Nicaragua","Centro"
"AA-11080","DIR-2","Toluca","México","México","Norte"
"AA-11080","DIR-3","Araguaína","Tocantins","Brasil","Sur"
"AA-11515","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AA-11515","DIR-2","Managua","Managua","Nicaragua","Centro"
"AA-11515","DIR-3","Ciudad de México","Distrito Federal","México","Norte"
"AA-11515","DIR-4","Santo André","Sao Paulo","Brasil","Sur"
"AA-13015","DIR-1","Guantánamo","Guantánamo","Cuba","Caribe"
"AA-13015","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AA-13015","DIR-3","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AA-13015","DIR-4","Managua","Managua","Nicaragua","Centro"
"AA-13015","DIR-5","Ciudad Juárez","Chihuahua","México","Norte"
"AA-13015","DIR-6","Mossoró","Río Grande del Norte","Brasil","Sur"
"AA-13015","DIR-7","Gravataí","Río Grande del Sur","Brasil","Sur"
"AA-13405","DIR-1","Managua","Managua","Nicaragua","Centro"
"AA-13405","DIR-2","Chihuahua","Chihuahua","México","Norte"
"AA-13405","DIR-3","Torreón","Coahuila","México","Norte"
"AA-13405","DIR-4","Maringá","Paraná","Brasil","Sur"
"AA-13405","DIR-5","Teresina","Piauí","Brasil","Sur"
"AA-13555","DIR-1","Palma Soriano","Santiago de Cuba","Cuba","Caribe"
"AA-13555","DIR-2","Santiago de Cuba","Santiago de Cuba","Cuba","Caribe"
"AA-13555","DIR-3","Escuintla","Escuintla","Guatemala","Centro"
"AA-13555","DIR-4","San Pedro Sula","Cortés","Honduras","Centro"
"AA-13555","DIR-5","Ixtapaluca","México","México","Norte"
"AA-13555","DIR-6","Puebla","Puebla","México","Norte"
"AA-13555","DIR-7","Sao Gonçalo","Río de Janeiro","Brasil","Sur"
"AA-14815","DIR-1","Escuintla","Escuintla","Guatemala","Centro"
"AA-14815","DIR-2","Choloma","Cortés","Honduras","Centro"
"AA-14815","DIR-3","Managua","Managua","Nicaragua","Centro"
"AA-14815","DIR-4","Ciudad de México","Distrito Federal","México","Norte"
"AA-14815","DIR-5","Guadalajara","Jalisco","México","Norte"
"AA-14815","DIR-6","Ciudad Valles","San Luis Potosí","México","Norte"
"AA-14815","DIR-7","Villahermosa","Tabasco","México","Norte"
"AA-18580","DIR-1","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AA-18580","DIR-2","Salamanca","Guanajuato","México","Norte"
"AA-20005","DIR-1","Mixco","Guatemala","Guatemala","Centro"
"AA-20005","DIR-2","Managua","Managua","Nicaragua","Centro"
"AA-20005","DIR-3","Puno","Puno","Perú","Sur"
"AA-20095","DIR-1","Palma Soriano","Santiago de Cuba","Cuba","Caribe"
"AA-20095","DIR-2","Ciudad de Panamá","Panamá","Panamá","Centro"
"AA-20095","DIR-3","Ciudad de México","Distrito Federal","México","Norte"
"AA-20095","DIR-4","Ciudad Obregón","Sonora","México","Norte"
"AA-20095","DIR-5","Tampico","Tamaulipas","México","Norte"
"AA-20095","DIR-6","San Salvador de Jujuy","Jujuy","Argentina","Sur"
"AA-20095","DIR-7","Jataí","Goiás","Brasil","Sur"
"AA-20095","DIR-8","Pelotas","Río Grande del Sur","Brasil","Sur"
"AB-11845","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AB-11845","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AB-11845","DIR-3","Sao Paulo","Sao Paulo","Brasil","Sur"
"AB-12865","DIR-1","Holguín","Holguín","Cuba","Caribe"
"AB-12865","DIR-2","Managua","Managua","Nicaragua","Centro"
"AB-12865","DIR-3","Nuevo Laredo","Tamaulipas","México","Norte"
"AB-12865","DIR-4","Ponte Nova","Minas Gerais","Brasil","Sur"
"AB-12865","DIR-5","Teresópolis","Río de Janeiro","Brasil","Sur"
"AB-12865","DIR-6","San Antonio","Valparaíso","Chile","Sur"
"AB-12865","DIR-7","Cartagena","Bolívar","Colombia","Sur"
"AB-13270","DIR-1","Santa Cruz de Barahona","Barahona","República Dominicana","Caribe"
"AB-13270","DIR-2","Soyapango","San Salvador","El Salvador","Centro"
"AB-13270","DIR-3","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AB-13270","DIR-4","Managua","Managua","Nicaragua","Centro"
"AB-13270","DIR-5","Tlaquepaque","Jalisco","México","Norte"
"AB-13270","DIR-6","Apodaca","Nuevo León","México","Norte"
"AB-13270","DIR-7","Monterrey","Nuevo León","México","Norte"
"AB-13270","DIR-8","Bogotá","Bogotá","Colombia","Sur"
"AB-13285","DIR-1","San Salvador","San Salvador","El Salvador","Centro"
"AB-13285","DIR-2","Ibirité","Minas Gerais","Brasil","Sur"
"AB-13285","DIR-3","Cruzeiro","Sao Paulo","Brasil","Sur"
"AB-13285","DIR-4","Apartadó","Antioquia","Colombia","Sur"
"AB-13285","DIR-5","Montevideo","Montevideo","Uruguay","Sur"
"AB-13795","DIR-1","San Salvador","San Salvador","El Salvador","Centro"
"AB-13795","DIR-2","Santa Helena","Maranhao","Brasil","Sur"
"AB-13795","DIR-3","Sao Paulo","Sao Paulo","Brasil","Sur"
"AB-13795","DIR-4","Sao Vicente","Sao Paulo","Brasil","Sur"
"AB-16075","DIR-1","San Salvador","San Salvador","El Salvador","Centro"
"AB-16075","DIR-2","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AB-16075","DIR-3","Sao Paulo","Sao Paulo","Brasil","Sur"
"AB-16075","DIR-4","Maracaibo","Zulia","Venezuela","Sur"
"AB-16765","DIR-1","Ciudad Choluteca","Choluteca","Honduras","Centro"
"AB-16765","DIR-2","Maceió","Alagoas","Brasil","Sur"
"AB-16765","DIR-3","Sao Vicente","Sao Paulo","Brasil","Sur"
"AB-16795","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AB-16795","DIR-2","León","Guanajuato","México","Norte"
"AB-16795","DIR-3","Cholula","Puebla","México","Norte"
"AB-16795","DIR-4","Orizaba","Veracruz","México","Norte"
"AB-16795","DIR-5","Caxias do Sul","Río Grande del Sur","Brasil","Sur"
"AB-16795","DIR-6","Duque de Caxias","Río de Janeiro","Brasil","Sur"
"AB-16795","DIR-7","Lorena","Sao Paulo","Brasil","Sur"
"AB-16795","DIR-8","Santa Marta","Magdalena","Colombia","Sur"
"AB-18880","DIR-1","Bridgetown","San Miguel","Barbados","Caribe"
"AB-18880","DIR-2","San Salvador","San Salvador","El Salvador","Centro"
"AB-18880","DIR-3","Sonsonate","Sonsonate","El Salvador","Centro"
"AB-18880","DIR-4","San Juan","San Juan","Argentina","Sur"
"AB-18880","DIR-5","Garanhuns","Pernambuco","Brasil","Sur"
"AB-20425","DIR-1","Ciudad Choluteca","Choluteca","Honduras","Centro"
"AB-20425","DIR-2","Managua","Managua","Nicaragua","Centro"
"AB-20425","DIR-3","Buenos Aires","Ciudad Autónoma de Buenos Aires","Argentina","Sur"
"AB-20425","DIR-4","Itaituba","Pará","Brasil","Sur"
"AB-20425","DIR-5","Quito","Pichincha","Ecuador","Sur"
"AB-20470","DIR-1","Mejicanos","San Salvador","El Salvador","Centro"
"AB-20470","DIR-2","San Salvador","San Salvador","El Salvador","Centro"
"AB-20470","DIR-3","Managua","Managua","Nicaragua","Centro"
"AB-20470","DIR-4","Cipolletti","Río Negro","Argentina","Sur"
"AB-20470","DIR-5","Santa Fe","Santa Fe","Argentina","Sur"
"AB-20470","DIR-6","Sao Luís","Maranhao","Brasil","Sur"
"AB-20470","DIR-7","Balneário Camboriú","Santa Catarina","Brasil","Sur"
"AB-20800","DIR-1","Mixco","Guatemala","Guatemala","Centro"
"AB-20800","DIR-2","Mexicali","Baja California","México","Norte"
"AB-20800","DIR-3","Ciudad de México","Distrito Federal","México","Norte"
"AB-20800","DIR-4","Carapicuíba","Sao Paulo","Brasil","Sur"
"AC-10060","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AC-10060","DIR-2","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AC-10060","DIR-3","Managua","Managua","Nicaragua","Centro"
"AC-10060","DIR-4","Colima","Colima","México","Norte"
"AC-10060","DIR-5","Ciudad de México","Distrito Federal","México","Norte"
"AC-10060","DIR-6","Ciudad Valles","San Luis Potosí","México","Norte"
"AC-10060","DIR-7","Valinhos","Sao Paulo","Brasil","Sur"
"AC-10060","DIR-8","Guayaquil","Guayas","Ecuador","Sur"
"AC-14125","DIR-1","Cienfuegos","Cienfuegos","Cuba","Caribe"
"AC-14125","DIR-10","Porto Alegre","Río Grande del Sur","Brasil","Sur"
"AC-14125","DIR-11","Sorocaba","Sao Paulo","Brasil","Sur"
"AC-14125","DIR-2","San Salvador","San Salvador","El Salvador","Centro"
"AC-14125","DIR-3","Villa Canales","Guatemala","Guatemala","Centro"
"AC-14125","DIR-4","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AC-14125","DIR-5","Tuxtla Gutiérrez","Chiapas","México","Norte"
"AC-14125","DIR-6","Salvador","Bahía","Brasil","Sur"
"AC-14125","DIR-7","Uberaba","Minas Gerais","Brasil","Sur"
"AC-14125","DIR-8","Altamira","Pará","Brasil","Sur"
"AC-14125","DIR-9","Cabo de Santo Agostinho","Pernambuco","Brasil","Sur"
"AC-17140","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AC-17140","DIR-2","San Pedro de Macorís","San Pedro de Macorís","República Dominicana","Caribe"
"AC-17140","DIR-3","San Salvador","San Salvador","El Salvador","Centro"
"AC-17140","DIR-4","Mixco","Guatemala","Guatemala","Centro"
"AC-17140","DIR-5","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AC-17140","DIR-6","Managua","Managua","Nicaragua","Centro"
"AC-17140","DIR-7","Ciudad de México","Distrito Federal","México","Norte"
"AC-17140","DIR-8","Morelia","Michoacán","México","Norte"
"AC-17140","DIR-9","Monterrey","Nuevo León","México","Norte"
